"Descrição","Valor","Encargos","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Cartão","Conta","Observações"
"Crema pt. 2","134.19","0.00","02/01/2026 22:08","10/02/2026","07/02/2026","Nenhuma","0","0","Mercado","Outros","Santander","Nubank",""
"Financiamento AP","713.00","0.00","10/02/2025 23:53","10/02/2026","11/02/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Hoto dog hot dog","81.00","0.00","03/01/2026 16:32","10/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Luz","164.50","0.00","10/06/2024 20:44","10/02/2026","12/02/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Milk shake","24.00","0.00","03/01/2026 16:34","10/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Sobremesa","Santander","Nubank",""
"Não sei","28.00","0.00","25/01/2026 16:36","10/02/2026","07/02/2026","Nenhuma","0","0","Outros","Outros","Santander","Nubank",""
"Remedio Isa  2/3","46.26","0.00","01/12/2025 20:19","10/02/2026","07/02/2026","Parcelada (mensal)","2","3","Saúde","Remédios","Santander","Nubank",""
"Remedio Isa  1/2","66.39","0.00","05/01/2026 13:47","10/02/2026","07/02/2026","Parcelada (mensal)","1","2","Saúde","Remédios","Santander","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/02/2026","07/02/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cartão Isa","147.89","0.00","07/11/2024 23:24","08/02/2026","06/02/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Camisa Fearless","90.00","0.00","07/02/2026 18:44","07/02/2026","07/02/2026","Nenhuma","0","0","Vestuário","Blusas","-","Nubank",""
"Despesa de ajuste","42.18","0.00","07/02/2026 00:00","07/02/2026","07/02/2026","Nenhuma","0","0","Outros","Ajustes","-","Nubank",""
"Salgado tarde","10.00","0.00","06/02/2026 15:10","06/02/2026","06/02/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","-","Nubank",""
"Crema pt. 1","390.48","0.00","02/02/2026 22:06","02/02/2026","02/02/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa pt. 2","219.35","0.00","02/02/2026 22:03","02/02/2026","02/02/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa pt.1","510.00","0.00","02/02/2026 22:03","02/02/2026","02/02/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Combustível","180.00","0.00","05/05/2025 23:12","01/02/2026","04/02/2026","Fixa mensal","0","0","Carro","Combustível","-","Pluxee",""
"Vip Sushi","50.17","0.00","01/02/2026 21:19","01/02/2026","01/02/2026","Nenhuma","0","0","Alimentação","Jantar","-","Pluxee",""
"Fred","58.00","0.00","29/01/2026 18:24","29/01/2026","29/01/2026","Nenhuma","0","0","Presente","Diversos","-","Nubank",""
"Unha Isa","70.00","0.00","28/01/2026 17:52","28/01/2026","28/01/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Financiamento Fiesta  4/48","928.52","0.00","18/11/2025 20:19","25/01/2026","20/01/2026","Parcelada (mensal)","4","48","Carro","Financiamento","-","Nubank",""
"Lanche MacDoo","40.00","0.00","23/01/2026 22:09","23/01/2026","23/01/2026","Nenhuma","0","0","Alimentação","Jantar","-","Nubank",""
"Internet","119.99","0.00","25/11/2024 18:18","21/01/2026","20/01/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Crema","40.39","0.00","20/01/2026 21:02","20/01/2026","20/01/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"IPTU","55.64","0.00","10/06/2024 20:46","20/01/2026","20/01/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Notebook  8/8","300.00","0.00","07/06/2025 10:05","20/01/2026","20/01/2026","Parcelada (mensal)","8","8","Tecnologia","Notebook","-","Nubank",""
"Pão da Tarde","5.80","0.00","16/01/2026 16:22","16/01/2026","16/01/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","-","Nubank",""
"Tim","52.18","0.00","16/08/2024 18:24","16/01/2026","20/01/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Almoço Isa","10.00","0.00","15/01/2026 07:50","15/01/2026","15/01/2026","Nenhuma","0","0","Alimentação","Almoço","-","Nubank",""
"Estacionamento","3.00","0.00","15/01/2026 07:51","15/01/2026","15/01/2026","Nenhuma","0","0","Carro","Estacionamento","-","Nubank",""
"Pão Crema","21.56","0.00","13/01/2026 19:41","13/01/2026","13/01/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Seguro  4/12","274.48","0.00","18/09/2025 20:06","13/01/2026","07/01/2026","Parcelada (mensal)","4","12","Carro","Seguro","NuBank","Nubank",""
"Ameripan","78.21","0.00","08/12/2025 19:09","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Açaí","18.00","0.00","27/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Café da manhã","11.31","0.00","20/12/2025 18:42","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Camisa Praia","70.00","0.00","26/12/2025 14:27","12/01/2026","07/01/2026","Nenhuma","0","0","Vestuário","Blusas","NuBank","Nubank",""
"Carne Almoço","79.58","0.00","20/12/2025 18:42","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Carvão e Gelo","59.50","0.00","20/12/2025 18:42","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Climatizador  12/12","46.13","0.00","03/02/2025 19:34","12/01/2026","07/01/2026","Parcelada (mensal)","12","12","Moradia","Equipamentos","Mercado Pagos","Nubank",""
"Combustível","153.59","0.00","24/12/2025 14:27","12/01/2026","07/01/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Combustível","114.95","0.00","28/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Comida com certeza","20.00","0.00","26/12/2025 18:42","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Comida com certeza","40.00","0.00","27/12/2025 18:43","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Confeitaria","56.50","0.00","19/12/2025 19:02","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Empréstimo Outubro  1/2","660.44","0.00","11/10/2025 18:27","12/01/2026","07/01/2026","Parcelada (mensal)","1","2","Outros","Outros","NuBank","Nubank",""
"Espetinho Praia","20.00","0.00","27/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Espetinho almoço","20.00","0.00","27/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Fazenda","75.79","0.00","21/12/2025 18:41","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mercado Praia","16.96","0.00","26/12/2025 18:50","12/01/2026","07/01/2026","Nenhuma","0","0","Mercado","Outros","Mercado Pagos","Nubank",""
"Mercado Praia","47.40","0.00","26/12/2025 18:50","12/01/2026","07/01/2026","Nenhuma","0","0","Mercado","Outros","Mercado Pagos","Nubank",""
"Mercado Viagem","16.96","0.00","27/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Não sei  11/12","22.54","0.00","07/07/2025 13:32","12/01/2026","07/01/2026","Parcelada (mensal)","11","12","Outros","Outros","Mercado Pagos","Nubank",""
"Nível 6 ML","8.90","0.00","04/09/2023 21:46","12/01/2026","07/01/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"Pastel praia","44.00","0.00","25/12/2025 14:27","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Pedágio Ida Praia","74.80","0.00","24/12/2025 14:27","12/01/2026","07/01/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio Volta","62.50","0.00","28/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pizzaria caraguatatuba","99.25","0.00","26/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Quiosque Almoço","24.00","0.00","27/12/2025 18:44","12/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Remédio Isa","47.99","0.00","05/12/2025 18:15","12/01/2026","07/01/2026","Nenhuma","0","0","Saúde","Remédios","Santander","Nubank",""
"Remédio Isa","53.90","0.00","05/12/2025 18:14","12/01/2026","07/01/2026","Nenhuma","0","0","Saúde","Remédios","Santander","Nubank",""
"Tenis puma  10/11","22.27","0.00","13/03/2025 18:06","12/01/2026","07/01/2026","Parcelada (mensal)","10","11","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Isa  2/3","40.13","0.00","11/11/2025 14:11","12/01/2026","07/01/2026","Parcelada (mensal)","2","3","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Uber Isa","8.94","0.00","24/12/2025 18:27","12/01/2026","07/01/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Camisetas Hering  2/2","50.00","0.00","05/12/2025 18:24","12/01/2026","07/01/2026","Parcelada (mensal)","2","2","Vestuário","Blusas","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  2/8","21.31","0.00","05/12/2025 18:25","12/01/2026","07/01/2026","Parcelada (mensal)","2","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  2/8","33.81","0.00","05/12/2025 18:26","12/01/2026","07/01/2026","Parcelada (mensal)","2","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Almoço","21.79","0.00","12/12/2025 15:13","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Almoço Maryara","33.88","0.00","05/12/2025 17:53","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Almoço domingo","64.00","0.00","07/12/2025 19:05","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Brait","6.10","0.00","30/12/2025 13:38","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","NuBank","Nubank",""
"Brinco Isa","22.00","0.00","10/12/2025 21:59","11/01/2026","07/01/2026","Nenhuma","0","0","Vestuário","Outros","NuBank","Nubank",""
"C&A","74.33","0.00","08/12/2025 19:28","11/01/2026","07/01/2026","Nenhuma","0","0","Vestuário","Blusas","NuBank","Nubank",""
"Cabelo","45.00","0.00","10/12/2025 21:51","11/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"Cabelo","45.00","0.00","30/12/2025 18:12","11/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"Combustível","112.71","0.00","08/12/2025 17:43","11/01/2026","07/01/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Estacionamento shopping","10.00","0.00","06/12/2025 07:48","11/01/2026","07/01/2026","Nenhuma","0","0","Carro","Estacionamento","NuBank","Nubank",""
"Estorno de ajuste","-44.61","0.00","29/12/2025 18:13","11/01/2026","07/01/2026","Nenhuma","0","0","Cartões de crédito","Estornos","NuBank","Nubank",""
"Fatura Mercado Pago","315.42","0.00","08/12/2025 19:26","11/01/2026","07/01/2026","Nenhuma","0","0","Outros","Outros","NuBank","Nubank",""
"General","56.71","0.00","13/12/2025 22:39","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Geo Cosméticos","144.91","0.00","10/12/2025 21:52","11/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Produtos","NuBank","Nubank",""
"Gympass","59.90","0.00","07/08/2025 13:43","11/01/2026","07/01/2026","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Mariliam","51.00","0.00","07/12/2025 07:42","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Milho","30.00","0.00","14/12/2025 23:10","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pagamento antecipado","-1050.19","0.00","22/12/2025 00:00","11/01/2026","07/01/2026","Nenhuma","0","0","Cartões de crédito","Adiantamento fatura","NuBank","Nubank",""
"Parcelamento Agosto  3/3","371.31","0.00","08/08/2025 00:13","11/01/2026","07/01/2026","Parcelada (mensal)","3","3","Outros","Outros","NuBank","Nubank",""
"Pastel","55.40","0.00","11/12/2025 23:54","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pedágio","-24.20","0.00","17/12/2025 06:50","11/01/2026","07/01/2026","Nenhuma","0","0","Cartões de crédito","Estornos","NuBank","Nubank",""
"Pedágio volta mas com valor dobrado","24.20","0.00","14/12/2025 23:10","11/01/2026","07/01/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágios","12.10","0.00","14/12/2025 19:35","11/01/2026","07/01/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Presente João + Roupas minhas  2/3","26.63","0.00","28/11/2025 12:21","11/01/2026","07/01/2026","Parcelada (mensal)","2","3","Presente","Outros","NuBank","Nubank",""
"Presente João + Roupas minhas  2/3","61.69","0.00","28/11/2025 12:21","11/01/2026","07/01/2026","Parcelada (mensal)","2","3","Vestuário","Blusas","NuBank","Nubank",""
"Presente Larissa","43.98","0.00","06/12/2025 09:49","11/01/2026","07/01/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Presente Larissa + body splash Isa","37.90","0.00","06/12/2025 09:57","11/01/2026","07/01/2026","Nenhuma","0","0","Presente","Outros","NuBank","Nubank",""
"Presente Larissa + body splash Isa","37.90","0.00","06/12/2025 09:57","11/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Produtos","NuBank","Nubank",""
"Presente Lavínia","39.99","0.00","10/12/2025 21:58","11/01/2026","07/01/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Presente Lavínia","59.80","0.00","06/12/2025 09:59","11/01/2026","07/01/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Protetor solar + Pós Sol  1/3","56.32","0.00","25/12/2025 16:37","11/01/2026","07/01/2026","Parcelada (mensal)","1","3","Saúde","Outros","NuBank","Nubank",""
"Pão","5.43","0.00","14/12/2025 10:04","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Pão e energético churrasco","26.58","0.00","21/12/2025 13:58","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Pão manhã","2.71","0.00","13/12/2025 14:28","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Relógios  3/3","101.60","0.00","26/10/2025 23:40","11/01/2026","07/01/2026","Parcelada (mensal)","3","3","Vestuário","Outros","NuBank","Nubank",""
"Seguro  10/10","171.18","0.00","20/03/2025 22:00","11/01/2026","07/01/2026","Parcelada (mensal)","10","10","Carro","Seguro","NuBank","Nubank",""
"Sorvete","20.85","0.00","12/12/2025 22:20","11/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/01/2026","07/01/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Café da manhã","62.50","0.00","30/11/2025 12:59","10/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","Santander","Nubank",""
"Condomínio","381.84","0.00","10/06/2024 20:42","10/01/2026","08/01/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Estorno de ajuste","-0.08","0.00","07/01/2026 17:43","10/01/2026","07/01/2026","Nenhuma","0","0","Cartões de crédito","Estornos","Santander","Nubank",""
"Financiamento AP","715.00","0.00","10/02/2025 23:53","10/01/2026","07/01/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","165.80","0.00","10/06/2024 20:44","10/01/2026","08/01/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Pizza","30.00","0.00","30/11/2025 20:02","10/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Pneu e suspensão Ka  12/12","129.39","0.00","04/12/2024 19:54","10/01/2026","07/01/2026","Parcelada (mensal)","12","12","Carro","Manutenção","Santander","Nubank",""
"Remedio Isa  1/3","46.26","0.00","01/12/2025 20:19","10/01/2026","07/01/2026","Parcelada (mensal)","1","3","Saúde","Remédios","Santander","Nubank",""
"Sombrancelha Isa","60.00","0.00","13/12/2025 22:38","10/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Unha","Santander","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/01/2026","07/01/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Água Cheirin Bão","4.50","0.00","07/12/2025 19:05","10/01/2026","07/01/2026","Nenhuma","0","0","Alimentação","Bebidas","Santander","Nubank",""
"Cartão Isa","201.09","0.00","07/11/2024 23:24","08/01/2026","07/01/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Despesa de ajuste","0.94","0.00","08/01/2026 00:00","08/01/2026","08/01/2026","Nenhuma","0","0","Outros","Ajustes","-","Pluxee",""
"Despesa de ajuste","1.65","0.00","08/01/2026 00:00","08/01/2026","08/01/2026","Nenhuma","0","0","Outros","Ajustes","-","Nubank",""
"Presente C&A","34.99","0.00","08/01/2026 13:23","08/01/2026","08/01/2026","Nenhuma","0","0","Presente","Diversos","-","Nubank",""
"Carta Sindpd","19.95","0.00","07/01/2026 15:51","07/01/2026","07/01/2026","Nenhuma","0","0","Imposto","Outros","-","Nubank",""
"Produto Isa","62.40","0.00","07/01/2026 17:21","07/01/2026","07/01/2026","Nenhuma","0","0","Beleza","Produtos","-","Nubank",""
"Crema Papel Alumínio","11.57","0.00","04/01/2026 21:43","04/01/2026","04/01/2026","Nenhuma","0","0","Mercado","Outros","-","Nubank",""
"Crema pt. 1","399.00","0.00","02/01/2026 22:05","02/01/2026","02/01/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa","598.05","0.00","02/01/2026 22:02","02/01/2026","02/01/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Carne ano novo","200.06","0.00","02/01/2026 22:00","01/01/2026","01/01/2026","Nenhuma","0","0","Alimentação","Jantar","-","Pluxee",""
"Combustível","180.00","0.00","05/05/2025 23:12","01/01/2026","03/01/2026","Fixa mensal","0","0","Carro","Combustível","-","Pluxee",""
